HASHTAG FILE relative_frequency_H_C  frequency_H_in_C  frequency_H_overall  count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
FckPutin 1009546724.hashtags 156.14889705882352979393  .04411764705882352941  .00028253575843192654  3 68 8 28315
StopRussianAggression 1009546724.hashtags 46.26633986928104695656  .01470588235294117647  .00031785272823591735  1 68 9 28315
Bucha 1009546724.hashtags 11.46046950890447924348  .04411764705882352941  .00384954970863499911  3 68 109 28315
Bryansk 1009546724.hashtags 138.79901960784314086969  .01470588235294117647  .00010595090941197245  1 68 3 28315
Chernihiv 1009546724.hashtags 6.30904634581105169531  .01470588235294117647  .00233092000706339396  1 68 66 28315
Ukraine 1009546724.hashtags 2.85373431255696557535  .33823529411764705882  .11852375066219318382  23 68 3356 28315
OpRussia 1009546724.hashtags 34.69975490196078439865  .02941176470588235294  .00084760727529577962  2 68 24 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
MECFS 1009900083402461185.hashtags 73.05211558307533587679  .08771929824561403508  .00120077697333568779  5 57 34 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
MECFS 1009900083402461185.hashtags 73.05211558307533587679  .08771929824561403508  .00120077697333568779  5 57 34 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
MECFS 1009900083402461185.hashtags 73.05211558307533587679  .08771929824561403508  .00120077697333568779  5 57 34 28315
MECFS 1009900083402461185.hashtags 73.05211558307533587679  .08771929824561403508  .00120077697333568779  5 57 34 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
BA2 1009900083402461185.hashtags 2.14118269812462189875  .01754385964912280701  .00819353699452586968  1 57 232 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
MECFS 1009900083402461185.hashtags 73.05211558307533587679  .08771929824561403508  .00120077697333568779  5 57 34 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
LongCovid 1009900083402461185.hashtags 25.64217984231834647833  .89473684210526315789  .03489316616634292777  51 57 988 28315
ImmmunizeUnder5s 1010321477772697601.hashtags 28315.00000000000608347775  1.00000000000000000000  .00003531696980399081  1 1 1 28315
brexit 1010384732759252997.hashtags 449.44444444444444767759  .47619047619047619047  .00105950909411972452  10 21 30 28315
torybrexit 1010384732759252997.hashtags 898.88888888888891231692  .28571428571428571428  .00031785272823591735  6 21 9 28315
covid 1010384732759252997.hashtags 8.67095391211146838884  .09523809523809523809  .01098357760904114426  2 21 311 28315
shapeshifter 1010384732759252997.hashtags 1348.33333333333343205830  .09523809523809523809  .00007063393960798163  2 21 2 28315
shapeshifter 1010384732759252997.hashtags 1348.33333333333343205830  .09523809523809523809  .00007063393960798163  2 21 2 28315
covid 1010384732759252997.hashtags 8.67095391211146838884  .09523809523809523809  .01098357760904114426  2 21 311 28315
torybrexit 1010384732759252997.hashtags 898.88888888888891231692  .28571428571428571428  .00031785272823591735  6 21 9 28315
johnsonisarussianRRRRRRet 1010384732759252997.hashtags 1348.33333333333362280701  .04761904761904761904  .00003531696980399081  1 21 1 28315
BorisJohnson 1010384732759252997.hashtags 12.96474358974358977376  .04761904761904761904  .00367296485961504502  1 21 104 28315
ToryBrexitDisaster 1010384732759252997.hashtags 674.16666666666671595836  .04761904761904761904  .00007063393960798163  1 21 2 28315
JohnsonOut 1010384732759252997.hashtags 5.45883940620782726221  .04761904761904761904  .00872329154158573194  1 21 247 28315
ToriesUnfitToGovern 1010384732759252997.hashtags 149.81481481481481869851  .04761904761904761904  .00031785272823591735  1 21 9 28315
torybrexit 1010384732759252997.hashtags 898.88888888888891231692  .28571428571428571428  .00031785272823591735  6 21 9 28315
